dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
io.springfox:springfox-swagger-ui,org.slf4j:slf4j-simple,10,130,382,0.08,0.03,0.08
io.springfox:springfox-swagger-ui,javax.annotation:javax.annotation-api,11,130,243,0.08,0.05,0.08
com.h2database:h2,org.apache.maven:maven-core,23,360,193,0.06,0.12,0.12
org.apache.commons:commons-collections4,org.scala-lang:scala-library,26,233,173,0.11,0.15,0.15
cglib:cglib,com.fasterxml.jackson.core:jackson-annotations,37,134,447,0.28,0.08,0.28
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,javax.servlet.jsp:jsp-api,6,143,105,0.04,0.06,0.06
org.elasticsearch:elasticsearch,org.springframework:spring-beans,17,122,256,0.14,0.07,0.14
commons-cli:commons-cli,org.elasticsearch:elasticsearch,26,376,122,0.07,0.21,0.21
commons-cli:commons-cli,commons-logging:commons-logging,107,376,369,0.28,0.29,0.29
com.alibaba:fastjson,org.apache.ant:ant,6,335,152,0.02,0.04,0.04
com.alibaba:fastjson,org.testng:testng,16,335,288,0.05,0.06,0.06
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.slf4j:slf4j-simple,26,124,382,0.21,0.07,0.21
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.junit.jupiter:junit-jupiter-api,19,124,286,0.15,0.07,0.15
commons-collections:commons-collections,org.awaitility:awaitility,27,284,161,0.1,0.17,0.17
org.apache.lucene:lucene-core,org.easymock:easymock,19,137,179,0.14,0.11,0.14
com.thoughtworks.xstream:xstream,org.codehaus.groovy:groovy-all,22,128,117,0.17,0.19,0.19
com.thoughtworks.xstream:xstream,org.springframework:spring-aop,32,128,180,0.25,0.18,0.25
commons-dbcp:commons-dbcp,org.codehaus.jackson:jackson-mapper-asl,20,124,154,0.16,0.13,0.16
commons-dbcp:commons-dbcp,org.apache.maven.plugin-tools:maven-plugin-annotations,11,124,229,0.09,0.05,0.09
commons-dbcp:commons-dbcp,io.dropwizard.metrics:metrics-core,14,124,156,0.11,0.09,0.11
io.netty:netty-handler,org.apache.commons:commons-collections4,19,119,233,0.16,0.08,0.16
io.netty:netty-handler,javax.annotation:javax.annotation-api,27,119,243,0.23,0.11,0.23
io.netty:netty-handler,javax.xml.bind:jaxb-api,31,119,304,0.26,0.1,0.26
org.apache.zookeeper:zookeeper,org.junit.jupiter:junit-jupiter-engine,16,193,334,0.08,0.05,0.08
com.google.code.findbugs:jsr305,org.assertj:assertj-core,92,323,454,0.28,0.2,0.28
com.google.code.findbugs:jsr305,org.springframework:spring-beans,39,323,256,0.12,0.15,0.15
com.google.code.findbugs:jsr305,org.apache.logging.log4j:log4j-core,53,323,387,0.16,0.14,0.16
org.jsoup:jsoup,org.springframework.boot:spring-boot-starter-test,8,232,128,0.03,0.06,0.06
commons-configuration:commons-configuration,org.javassist:javassist,35,149,227,0.23,0.15,0.23
commons-configuration:commons-configuration,org.testng:testng,26,149,288,0.17,0.09,0.17
commons-configuration:commons-configuration,org.springframework:spring-orm,13,149,126,0.09,0.1,0.1
org.apache.derby:derby,org.slf4j:slf4j-jdk14,12,102,107,0.12,0.11,0.12
javax.servlet:jstl,org.apache.curator:curator-recipes,7,124,131,0.06,0.05,0.06
commons-httpclient:commons-httpclient,org.apache.maven:maven-plugin-api,15,140,264,0.11,0.06,0.11
com.beust:jcommander,commons-httpclient:commons-httpclient,8,100,140,0.08,0.06,0.08
com.jcraft:jsch,org.awaitility:awaitility,5,103,161,0.05,0.03,0.05
com.jcraft:jsch,javax.activation:activation,10,103,107,0.1,0.09,0.1
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-math3,64,841,180,0.08,0.36,0.36
ch.qos.logback:logback-core,javax.servlet:jstl,14,225,124,0.06,0.11,0.11
javax.servlet:javax.servlet-api,log4j:log4j,149,491,487,0.3,0.31,0.31
javax.servlet:javax.servlet-api,org.awaitility:awaitility,38,491,161,0.08,0.24,0.24
javax.validation:validation-api,org.ow2.asm:asm,16,197,180,0.08,0.09,0.09
org.apache.ant:ant,org.springframework:spring-webmvc,19,152,264,0.13,0.07,0.13
org.hamcrest:hamcrest-core,org.springframework:spring-jdbc,24,216,219,0.11,0.11,0.11
org.mybatis:mybatis,org.springframework:spring-beans,44,125,256,0.35,0.17,0.35
com.fasterxml.jackson.core:jackson-core,org.aspectj:aspectjrt,32,532,111,0.06,0.29,0.29
com.fasterxml.jackson.core:jackson-core,commons-collections:commons-collections,115,532,284,0.22,0.4,0.4
com.sun.xml.bind:jaxb-impl,org.apache.lucene:lucene-core,16,160,137,0.1,0.12,0.12
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:jul-to-slf4j,22,242,152,0.09,0.14,0.14
org.apache.poi:poi,org.junit.jupiter:junit-jupiter-engine,14,139,334,0.1,0.04,0.1
com.googlecode.json-simple:json-simple,org.apache.logging.log4j:log4j-core,30,154,387,0.19,0.08,0.19
jakarta.xml.bind:jakarta.xml.bind-api,org.hsqldb:hsqldb,21,114,197,0.18,0.11,0.18
jakarta.xml.bind:jakarta.xml.bind-api,org.quartz-scheduler:quartz,15,114,143,0.13,0.1,0.13
com.jayway.jsonpath:json-path,org.apache.commons:commons-text,24,129,183,0.19,0.13,0.19
commons-lang:commons-lang,xerces:xercesImpl,43,441,111,0.1,0.39,0.39
mysql:mysql-connector-java,org.junit.jupiter:junit-jupiter-params,21,537,169,0.04,0.12,0.12
org.apache.curator:curator-recipes,org.codehaus.groovy:groovy-all,13,131,117,0.1,0.11,0.11
org.apache.hadoop:hadoop-common,org.powermock:powermock-module-junit4,36,140,203,0.26,0.18,0.26
com.google.code.gson:gson,commons-httpclient:commons-httpclient,61,666,140,0.09,0.44,0.44
com.google.code.gson:gson,org.antlr:antlr4-runtime,39,666,109,0.06,0.36,0.36
org.apache.thrift:libthrift,org.scala-lang:scala-library,21,104,173,0.2,0.12,0.2
org.junit.jupiter:junit-jupiter,org.springframework:spring-expression,3,153,115,0.02,0.03,0.03
org.easymock:easymock,org.springframework:spring-context-support,19,179,155,0.11,0.12,0.12
org.easymock:easymock,org.slf4j:slf4j-log4j12,66,179,521,0.37,0.13,0.37
org.apache.commons:commons-pool2,org.slf4j:jcl-over-slf4j,29,118,311,0.25,0.09,0.25
io.dropwizard.metrics:metrics-core,org.springframework:spring-beans,26,156,256,0.17,0.1,0.17
com.github.ben-manes.caffeine:caffeine,org.apache.curator:curator-framework,15,111,121,0.14,0.12,0.14
com.github.ben-manes.caffeine:caffeine,org.codehaus.plexus:plexus-utils,11,111,144,0.1,0.08,0.1
com.github.ben-manes.caffeine:caffeine,com.jayway.jsonpath:json-path,17,111,129,0.15,0.13,0.15
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-core,30,264,215,0.11,0.14,0.14
io.springfox:springfox-swagger2,org.springframework.boot:spring-boot-starter-web,29,143,140,0.2,0.21,0.21
io.springfox:springfox-swagger2,org.springframework:spring-jdbc,20,143,219,0.14,0.09,0.14
io.springfox:springfox-swagger2,org.springframework:spring-orm,7,143,126,0.05,0.06,0.06
org.hamcrest:hamcrest,org.hamcrest:hamcrest-all,8,151,237,0.05,0.03,0.05
commons-logging:commons-logging,org.slf4j:slf4j-jdk14,27,369,107,0.07,0.25,0.25
com.google.protobuf:protobuf-java,org.hamcrest:hamcrest-all,32,268,237,0.12,0.14,0.14
com.google.protobuf:protobuf-java,joda-time:joda-time,75,268,380,0.28,0.2,0.28
com.google.protobuf:protobuf-java,io.dropwizard.metrics:metrics-core,43,268,156,0.16,0.28,0.28
org.quartz-scheduler:quartz,org.springframework:spring-orm,37,143,126,0.26,0.29,0.29
org.eclipse.jetty:jetty-server,org.springframework:spring-test,60,267,339,0.22,0.18,0.22
